##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0357,0.0347,0.0369,0.037,0.0356,0.0357,0.0354,0.0372,0.0356,0.0362,0.0351,,,0.0329,0.0312,0.0339,0.0336,0.0329,0.0332,0.0337,0.035,0.0336,0.0328,0.0323,,,0.035,0.034,0.0363,0.0363,0.035,0.0363,0.038,0.0388,0.0385,0.0363,0.0357
,,,0.0849,0.0356,0.0379,0.0427,0.0419,0.0354,0.0354,0.0366,0.0378,0.0358,0.0394,,,0.0858,0.032,0.0342,0.0418,0.0388,0.032,0.0332,0.034,0.0344,0.034,0.0378,,,0.0925,0.0346,0.037,0.0495,0.042,0.0354,0.0376,0.0385,0.04,0.0368,0.0424
,,,0.0358,0.0436,0.0391,0.0352,0.0363,0.0354,0.0376,0.0379,0.0374,0.0362,0.0356,,,0.0325,0.0409,0.0371,0.032,0.0337,0.0319,0.0335,0.0346,0.0341,0.0335,0.0338,,,0.0345,0.0468,0.0417,0.0348,0.0362,0.0352,0.038,0.038,0.0372,0.035,0.0356
,,0.0385,0.0343,0.0364,0.0514,0.0425,0.0371,0.0362,0.0375,,,,,,0.0373,0.0306,0.033,0.0489,0.0409,0.0344,0.0327,0.0347,,,,,,0.0352,0.0333,0.036,0.0521,0.0418,0.0373,0.0349,0.0359,,,,
,,0.0363,0.0362,0.0372,0.0362,0.0371,0.0358,0.0387,0.0373,,,,,,0.0329,0.0326,0.0328,0.0329,0.037,0.0321,0.0357,0.0339,,,,,,0.0354,0.0343,0.0365,0.035,0.0391,0.0345,0.0395,0.0368,,,,
,,0.035,0.037,0.0353,0.0365,0.0366,0.0412,0.038,0.0363,,,,,,0.0312,0.033,0.0313,0.0332,0.0356,0.039,0.0348,0.0334,,,,,,0.0333,0.0356,0.0341,0.0364,0.0373,0.0418,0.0373,0.0368,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
